Participant ID	Gender	Birthplace	Age
SPK0014	M	East Kazakhstan	24
SPK0015	F	East Kazakhstan	51
SPK0016	M	East Kazakhstan	55
SPK0017	M	East Kazakhstan	62
SPK0023	M	East Kazakhstan	36
SPK0024	F	East Kazakhstan	54
SPK0025	F	East Kazakhstan	32
SPK0026	F	East Kazakhstan	65
SPK0027	F	East Kazakhstan	45
SPK0028	M	East Kazakhstan	18
SPK0029	F	East Kazakhstan	16
SPK0030	F	East Kazakhstan	21
SPK0031	M	East Kazakhstan	80
SPK0032	F	East Kazakhstan	76
SPK0033	F	West Kazakhstan	19
SPK0034	F	West Kazakhstan	19
SPK0035	F	South Kazakhstan	19
SPK0036	F	East Kazakhstan	47
SPK1104	F	Xinjiang	23
SPK1109	F	Xinjiang	50
SPK1111	M	Xinjiang	29
SPK1117	F	Almaty	22
SPK1118	F	South Kazakhstan	23
SPK1121	F	Xinjiang	48
SPK1126	F	Xinjiang	58
SPK1131	F	Xinjiang	60
SPK1132	M	Xinjiang	23
SPK1133	F	Xinjiang	22
SPK2001	F	North Kazakhstan	21
SPK2001	F	North Kazakhstan	21
SPK2002	F	North Kazakhstan	21
SPK2002	F	North Kazakhstan	21
SPK3001	F	East Kazakhstan	55
SPK3002	F	East Kazakhstan	17
SPK3004	M	East Kazakhstan	55
SPK3006	F	East Kazakhstan	29
SPK3007	M	East Kazakhstan	50
SPK3010	F	East Kazakhstan	73
SPK3011	M	East Kazakhstan	79
SPK3012	F	East Kazakhstan	24
SPK3013	F	East Kazakhstan	47
SPK3014	M	East Kazakhstan	11
SPK4001	F	West Kazakhstan	23
SPK4002	F	West Kazakhstan	22
SPK4003	F	Unknown	46
SPK4004	M	Unknown	47
SPK4005	F	Unknown	28
SPK4006	F	Unknown	22
SPK4007	F	Unknown	22
SPK4008	F	Unknown	NA
SPK4009	F	Unknown	NA
SPK4010	F	Uzbekistan	21
SPK4011	F	Uzbekistan	21
SPK5001	M	West Kazakhstan	48
SPK5002	F	West Kazakhstan	46
SPK5003	F	West Kazakhstan	22
SPK5004	F	Unknown	NA
SPK5005	M	Unknown	NA
SPK5006	F	Unknown	NA
SPK6001	M	Central Kazakhstan	22
SPK6002	F	North Kazakhstan	81
SPK6003	F	Central Kazakhstan	43
SPK6004	F	Central Kazakhstan	46
SPK6005	F	South Kazakhstan	67
SPK6006	F	Central Kazakhstan	20
SPK6007	F	Unknown	24
SPK6008	F	Unknown	24
SPK6009	F	Unknown	19
SPK6010	F	Unknown	22
SPK6011	F	Unknown	19
SPK7001	F	West Kazakhstan	21
SPK7002	F	Unknown	45
SPK7003	M	West Kazakhstan	52
