FILE,YEAR,SPEAKER,EVENT DESCRIPTION,DATE,GENRE,PLACE,SETTING,Running Time
MCSKL001,2021,SPK0014; SPK0027; SPK0032,"Casual conversation between a mother (SPK0032) and a daughter (SPK0027). Participants discuss family matters, while in the kitchen preparing plums for making kompot and jams. The mother's son (SPK0014) occasionally joins the conversation.",2021-09-08,Conversation,East Kazakhstan,City,00:20:01
MCSKL002,2023,SPK0014; SPK0032,"Conversation between grandmother (SPK0032) and grandson (SPK0014) in the kitchen, while both are engaged in preparing a dish. Participants discuss details of the dish and share news about relatives.",2023-09-08,Conversation,East Kazakhstan,City,00:27:30
MCSKL005,2021,SPK0027; SPK0036,"Conversation between two women friends (SPK0027 and SPK0036) who are planning a trip to Alakol.  The son of one of the two women is tasked with buying tickets, so he ocasionally asks them questions regarding the details of the trip during the conversation.",2021-11-07,Conversation,East Kazakhstan,City,00:19:58
MCSKL003a,2021,SPK0014; SPK0027; SPK3007; SPK3011,"Father (SPK3007) and mother (SPK0027) watch videos and pictures from a wedding they recently attended. Son (SPK0014) and grandfather (SPK3011) ask questions about the event, which they did not attend. Participants discuss details of the wedding and share news about the participants.",2021-02-23,Conversation,East Kazakhstan,City,00:20:02
MCSKL003b,2021,SPK0014; SPK3010; SPK3011,Continuation of MCSKL003a. A grandmother (SPK3010) is watching videos and pictures from a wedding with her grandson (SPK0014). Participants discuss the details of the wedding and share news about the participants. Her husband (SPK3011) already watched the videos and occasionally joins in the conversation.,2021-02-23,Conversation,East Kazakhstan,City,00:19:53
MCSKL004b,2021,SPK3001; SPK3002,"Continuation of MCSKL004a. A daughter (SPK3002) is helping her mother (SPK3001) digitize lesson plans. As they perform the work on the computer, they discuss acquaintances and family matters.",2021-09-23,Conversation,East Kazakhstan,City,00:20:01
MCSKL006,2021,SPK0031; SPK0032,This a casual conversation between an elderly couple who are talking about their friends and family in the village that they had recently left for city.,2021-07-14,Conversation,East Kazakhstan,City,00:08:57
MCSKL007,2021,SPK0015; SPK0016; SPK0017,"This is a casual conversation beween a couple and the husband's brother. They talk about different topics, ranging from young people's behavior and the motion of the sun, to mountains and space.",2021-07-31,Conversation,East Kazakhstan,City,00:14:29
MCSKL008a,2022,SPK0031; SPK0032; SPK0014,This is mainly a conversation between an elderly couple (SPK0031 and SPK0032) about their common friends in the village and recent events. There is also some talk about politics between the grandfather (SPK0031) and grandson (SPK0014).,2022-07-26,Conversation,East Kazakhstan,Village,00:09:43
MCSKL008b,2022,SPK0031; SPK0032; SPK0014,This is mainly a conversation between an elderly couple about their common friends in the village and recent events.,2022-07-26,Conversation,East Kazakhstan,Village,00:10:26
MCSKL009,2022,SPK3001; SPK3002; SPK3004; SPK3006; SPK0032,"A group of participants is performing the ritual butchering of a sheep. In this portion of the recording, the participants are cleaning the animal.",2022-07-27,Task-directed talk,East Kazakhstan,Village,00:20:01
MCSKL010,2023,SPK3012; SPK3013; SPK3014,A mother (SPK3013) and daughter (SPK3012) are planning a trip to Almaty. They discuss previous trips. They are ocasionally joined by the mother's younger son (SPK3014).,2023-07-29,Conversation,East Kazakhstan,City,00:12:50
MCSKL014,2022,SPK0032; SPK0027; SPK3001,A mom (SPK0032) and her two daughters are spending the afternoon at the house of the older daughter (SPK3001). They discuss relatives and health related topics.,2022-07-26,Conversation,East Kazakhstan,Village,00:15:40
MCSKL011,2022,SPK3001; SPK0014; SPK0027; SPK0032,"The conversation is mainly between an aunt (SPK3001) and her nephew (SPK0014). They talk about finances, moving to the city, and village life. Ocasionally, the nephew's mother (SPK0027) and grandmother (SPK0014) join the conversation.",2022-07-26,Conversation,East Kazakhstan,Village,00:17:45
MCSKL012a,2021,SPK0027; SPK0024; SPK0026; SPK0023; SPK0025; SPK0028; SPK0014,"A group of friends meets at the house of one of the participants (SPK0027) and discusses their kids, relatives, and funny stories from the past. SPK0027 is a kelin to other participants.",2021-07-25,Conversation,East Kazakhstan,City,00:10:29
MCSKL012b,2021,SPK0027; SPK0024; SPK0026; SPK0023; SPK0025; SPK0028; SPK0014,"A group of friends meets at the house of the participants (SPK0027) and discusses their kids, relatives, and funny stories from the past. SPK0027 is a kelin to other participants.",2021-07-25,Conversation,East Kazakhstan,City,00:10:29
MCSKL013,2021,SPK0029; SPK0030,"Two sisters are sitting in the city main square, talking about a movie, recent events in their lives, and discussing travel plans.",2021-07-20,Conversation,East Kazakhstan,City,00:10:57
MCSKL015,2022,SPK1111; SPK1104,"Two relatives talk about various topics: their experience of moving from China to Kazakhstan, pandemic, farming, and marriage.",2022-07-06,Conversation,Almaty,City,00:19:58
